,Consumo ,PBI
2000,143191,"222206,7"
2001,144629,"223579,6"
2002,151674,"235772,9"
2003,155487,"245592,6"
2004,160769,"257769,8"
2005,166654,"273971,2"
2006,177006,"294597,8"
2007,192316,"319693,0"
2008,"209428,3958","348870,0"
2009,"215863,0031","352693,0"
2010,"235507,8443","382069,0"
2011,"252468,3473","406246,8"
2012,"271240,362","431189,4"
2013,"286789,0327","456423,0"
2014,"298900,5422","467302,9"
2015,"310911,5757","482495,4"
2016,"322549,0491","501571,7"
2017,"331078,4841","514205,1"
2018,"343759,92","534615,8"
2019,"354912,8688","546593,5"
2020,319919,"486809,1"
2021,360044,"552143,0"
2022,372821,"567708,8"